timestamp,cpu_percent,mem_usage,cpu_temp_c,tcp_conns,Relative_Time,Scenario,Framework,Endpoint,Profile
2026-05-05 20:53:14+00:00,9.64,44.27,42.625,1,0.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:16+00:00,9.7,44.33,42.625,1,2.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:18+00:00,9.61,44.57,42.625,1,4.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:20+00:00,9.58,44.55,42.625,1,6.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:22+00:00,9.67,44.72,42.625,1,8.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:24+00:00,9.57,44.41,42.625,1,10.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:26+00:00,9.56,44.6,42.625,2,12.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:28+00:00,9.64,46.18,42.625,1,14.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:53:31+00:00,9.53,47.77,42.625,1,17.0,A (Ideal),FastAPI,IO,high
2026-05-05 20:55:04+00:00,3.26,41.16,42.5,0,0.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:07+00:00,3.28,41.02,42.625,0,3.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:09+00:00,3.28,41.12,42.625,0,5.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:11+00:00,3.26,41.18,42.625,0,7.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:13+00:00,3.25,41.05,42.625,0,9.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:15+00:00,3.24,41.16,42.625,0,11.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:17+00:00,3.25,41.26,42.625,0,13.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:19+00:00,3.26,41.11,42.625,0,15.0,A (Ideal),FastAPI,CPU,low
2026-05-05 20:55:21+00:00,3.25,41.24,42.625,0,17.0,A (Ideal),FastAPI,CPU,low
2026-05-05 21:45:34+00:00,90.36,43.27,42.375,2,0.0,A (Ideal),Express,CPU,high
2026-05-05 21:45:36+00:00,87.54,44.3,42.375,3,2.0,A (Ideal),Express,CPU,high
2026-05-05 21:45:38+00:00,89.87,43.88,42.375,3,4.0,A (Ideal),Express,CPU,high
2026-05-05 21:45:40+00:00,90.41,43.11,42.5,2,6.0,A (Ideal),Express,CPU,high
2026-05-05 21:45:42+00:00,87.95,43.67,42.375,2,8.0,A (Ideal),Express,CPU,high
2026-05-05 21:45:44+00:00,89.53,43.24,42.375,3,10.0,A (Ideal),Express,CPU,high
2026-05-05 21:45:47+00:00,89.95,43.2,42.375,2,13.0,A (Ideal),Express,CPU,high
