Scenario,Framework,Endpoint,Profile,Throughput,Error_Rate,Latency_P99,CPU_Mean,RAM_Mean,TCP_Max,CPU_Temp_Max_C
A (Ideal),FastAPI,IO,high,100.02409142069489,0.0,1.7033410899999992,9.61111111111111,45.044444444444444,2,42.625
A (Ideal),FastAPI,CPU,low,10.031979705938836,0.0,3.473537699999998,3.2588888888888885,41.144444444444446,0,42.625
A (Ideal),Express,CPU,high,100.00328397655191,0.0,24.84457449,89.3788888888889,43.528888888888886,3,42.5
A (Ideal),Express,CPU,medium,50.01871077339216,0.0,14.63642756,44.91888888888889,34.48111111111112,1,42.5
A (Ideal),FastAPI,IO,medium,50.03102161662552,0.0,1.8077186999999997,6.245555555555556,44.193333333333335,2,42.125
A (Ideal),Express,CPU,high,100.0023391350208,0.0,26.01911268,89.40111111111112,43.18555555555557,3,42.375
A (Ideal),Express,CPU,low,10.030179804682023,0.0,13.30495112999998,10.067777777777778,30.662222222222226,0,42.5
A (Ideal),FastAPI,IO,high,100.02430904348127,0.0,1.75252568,9.683333333333334,46.61000000000001,2,42.5
A (Ideal),Express,CPU,medium,50.01841096065152,0.0,14.60297979,44.83222222222222,34.43777777777778,1,42.75
A (Ideal),Express,CPU,high,100.00381273450085,0.0,25.664298939999995,89.17333333333335,43.78888888888889,3,42.375
A (Ideal),FastAPI,IO,high,100.02406564687459,0.0,1.4969291999999996,9.654444444444445,44.852222222222224,2,42.75
A (Ideal),FastAPI,CPU,medium,50.02842908311783,0.0,2.94141191,14.572222222222223,41.20777777777778,1,42.625
A (Ideal),FastAPI,IO,high,100.02447943647971,0.0,1.4851286099999998,9.744444444444444,44.84777777777777,1,41.875
A (Ideal),FastAPI,IO,low,10.032392861044338,0.0,1.6631721199999887,1.663333333333333,42.82333333333333,1,42.0
A (Ideal),Express,IO,high,100.02705531192115,0.0,1.8391981799999981,5.671111111111111,36.532222222222224,1,42.125
A (Ideal),FastAPI,IO,medium,50.02898910275252,0.0,1.7885996999999996,6.250000000000001,44.01888888888889,1,42.625
A (Ideal),Express,IO,high,100.0282349108713,0.0,2.2785637999999997,5.748888888888889,36.528888888888886,1,42.25
A (Ideal),FastAPI,IO,medium,50.030580934276955,0.0,2.0105951099999997,6.228888888888889,43.96,2,42.75
A (Ideal),FastAPI,CPU,medium,50.02766919395684,0.0,3.59404389,14.731111111111112,41.42333333333333,0,42.125
A (Ideal),FastAPI,IO,medium,50.03089263293791,0.0,1.7849987899999988,6.262222222222222,45.669999999999995,1,41.75
A (Ideal),FastAPI,IO,low,10.032432111596389,0.0,1.5032418999999995,1.66,42.59888888888889,1,42.125
A (Ideal),Express,CPU,high,100.00408186937553,0.0,25.67130541,89.57777777777777,43.92,2,43.25
A (Ideal),FastAPI,IO,high,100.02457640839116,0.0,1.7118608899999996,9.671111111111111,44.82222222222222,1,42.375
A (Ideal),FastAPI,CPU,medium,50.02798915676045,0.0,3.7269225999999995,14.687777777777777,43.56111111111111,1,41.625
A (Ideal),Express,CPU,low,10.030058120160788,0.0,12.488228579999996,9.942222222222222,30.625555555555554,1,42.625
A (Ideal),Express,IO,medium,50.031835338490104,0.0,2.5101864499999946,4.066666666666666,34.99777777777777,2,42.625
A (Ideal),FastAPI,IO,low,10.032521851465708,0.0,1.9424490699999986,1.6533333333333333,42.601111111111116,1,42.0
A (Ideal),Express,CPU,medium,50.01703308402069,0.0,14.18288054,45.08222222222222,35.968888888888884,1,42.875
A (Ideal),Express,IO,high,100.02814523020729,0.0,1.8564494399999971,5.967777777777778,36.31666666666667,1,43.0
A (Ideal),Express,CPU,medium,50.01762207298469,0.0,14.997170089999997,45.39,34.18555555555556,1,41.75
A (Ideal),Express,CPU,low,10.029953306604027,0.0,12.58846518,9.982222222222223,30.466666666666672,1,42.375
A (Ideal),Express,IO,low,9.999889205894213,0.0,2.939581080000004,1.5833333333333333,31.00333333333333,2,42.25
A (Ideal),Express,IO,high,100.02764450778682,0.0,2.554729999999996,5.473333333333334,36.855555555555554,2,41.75
A (Ideal),FastAPI,IO,high,100.02455110106118,0.0,1.5420632899999986,9.642222222222223,46.54333333333333,1,42.125
A (Ideal),FastAPI,IO,high,100.02415610367427,0.0,1.4502286,9.572222222222223,45.01444444444445,1,42.0
A (Ideal),Express,IO,high,100.02849703219034,0.0,2.5651848,5.919999999999999,36.449999999999996,1,42.125
A (Ideal),Express,IO,low,10.0326739351701,0.0,2.591017459999989,1.5844444444444445,29.488888888888894,1,42.75
A (Ideal),Express,IO,medium,49.99804881114573,0.0,2.5880765799999987,3.554444444444444,35.16666666666667,1,41.875
A (Ideal),FastAPI,IO,low,10.032463242208664,0.0,1.5036228999999999,1.661111111111111,44.465555555555554,1,42.625
A (Ideal),Express,IO,high,100.02608558320848,0.0,2.089387999999997,6.193333333333333,36.228888888888896,2,41.875
A (Ideal),FastAPI,IO,medium,50.0293594562853,0.0,1.5583216699999989,6.311111111111111,44.21333333333333,2,42.25
A (Ideal),Express,CPU,high,100.00629678767332,0.0,24.60317236,89.56777777777778,43.52666666666667,3,42.375
A (Ideal),FastAPI,IO,low,10.03264939458166,0.0,2.133723079999994,1.6588888888888886,42.510000000000005,2,41.75
